matrix,n,set,component,rank,row_index,gene_name,tis_id,orf_type,is_anchor,value,inf_norm,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
all-ORF,10,Y,1.0,,2791,LGALS1,chr22:37675690:+:CTG:ENST00000215909.10,extended,False,5.010822306801303,5.010822306801303,5.010822306801303,-0.6929310094420306,1.052755461826456,0.10934437591217956,4.51258546593762,1.589427364286012,-0.9200685719858909,0.1445516906602112,1.4506347006882752,-0.3950648792592643
all-ORF,10,Y,2.0,,3628,NUCKS1,chr1:205718417:-:AAG:ENST00000367142.5,truncated,False,4.483687027080544,4.483687027080544,-0.7246152437011866,4.483687027080544,1.552782827101689,0.2981012435412944,1.6560787756172866,-0.5405443194533698,-0.37588349802684284,-0.3056145038840373,0.13613890995632613,0.038817755554571454
all-ORF,10,Y,3.0,,2468,INCENP,chr11:62124150:+:GTG:ENST00000394818.8,extended,False,4.085631183888926,4.085631183888926,-1.5806559795112096,-0.10148556860116038,4.085631183888926,0.5008496700495962,0.1413665901677645,0.43434211883873536,0.5101929560617396,-0.15923278387672218,0.2923756855772826,0.01867990439144108
all-ORF,10,Y,4.0,,780,CBX5,chr12:54257644:-:AAG:ENST00000439541.6,truncated,False,3.679917018333655,3.679917018333655,0.6123109268483862,0.7690695527620585,1.748236734381074,3.679917018333655,-0.4847130799690647,-0.2151712503136851,-0.49816104719030974,0.5512808220624343,0.5297644592505284,0.15706849077131885
all-ORF,10,Y,5.0,,2369,HSP90AA1,chr14:102087024:-:GTG:ENST00000216281.13,extended,False,6.419648805773953,6.419648805773953,1.81529854337824,-1.504911558635016,2.1166298570202793,-1.4860069046871331,6.419648805773953,2.80375508906797,-0.7784282818533,2.340039889697484,3.1876352112689346,-0.9371073572483369
all-ORF,10,Y,6.0,,2824,LMNA,chr1:156114909:+:CTG:ENST00000368300.9,extended,False,3.9524605167691926,3.9524605167691926,-0.9413806895718396,-1.387896101341481,2.75009596751849,1.198927648791112,2.4932545632892444,3.9524605167691926,-0.19249961593276727,2.069815407057862,2.6930186505958114,-0.2790765896890136
all-ORF,10,Y,7.0,,5582,TGOLN2,chr2:85327401:-:AAG:ENST00000377386.8,truncated,False,3.347036923847022,3.347036923847022,-0.2660211378251952,1.5662726495947865,1.2480418742924673,-1.501584117377202,2.7955338748175316,0.029433017757376233,3.347036923847022,-0.8225653450666169,-0.4830661796347805,-0.6124921646052532
all-ORF,10,Y,8.0,,3302,MTPN,chr7:135977304:-:GTG:ENST00000393085.4,extended,False,4.992002903117835,4.992002903117835,3.2756437080686007,0.7824770572444387,0.9020967617850391,-1.4817585883490894,3.600735221791617,2.028909359688837,-3.2548669125724756,4.992002903117835,2.1064152808260963,-0.02051128845933951
all-ORF,10,Y,9.0,,5317,SSR2,chr1:156020896:-:ATG:ENST00000295702.9,extended,False,3.8182313477270626,3.8182313477270626,3.7486054424404234,-1.7896441931837046,0.8726003421897253,-1.1810150413264302,1.4767192217690266,1.9034039147975017,0.29742008554512817,3.6849763978965133,3.8182313477270626,-0.6912617073957171
all-ORF,10,Y,10.0,,5280,SRD5A1,chr5:6633557:+:ACG:ENST00000274192.7,uorf,False,3.0523273737642826,3.0523273737642826,1.807046207983484,1.1507083032361018,0.6390403521576744,-2.5721811456782113,0.014803529246973703,-0.2718204546548862,1.3896646195367677,0.5004682643537626,-0.3467915425462668,3.0523273737642826
all-ORF,10,Z,1.0,,2679,KMT2C,chr7:152187716:-:AGG:ENST00000262189.11,truncated,False,-6.17603256904239,6.17603256904239,-6.17603256904239,-0.9785437523403288,0.6741567762356017,-1.6128894073843074,1.014838845912673,-0.06553117364840827,-0.46917413374111944,-0.6750075874893113,0.6541469846577466,-0.6097904293521798
all-ORF,10,Z,2.0,,1983,GBE1,chr3:81761505:-:ATG:ENST00000429644.7,truncated,False,-3.7899574614034672,3.7899574614034672,0.16390119545301948,-3.7899574614034672,0.14212300260762975,0.25838745702729815,0.4549796509554924,0.20769962501624029,-0.8790451874321183,-0.9717106855375717,0.5435291146462177,-0.29934612908287833
all-ORF,10,Z,3.0,,480,ATP9A,chr20:51604919:-:GTG:ENST00000338821.6,truncated,False,-3.2122717388363906,3.2122717388363906,-0.9874831728316528,1.2960225395449159,-3.2122717388363906,-1.3157259769520169,-0.6512138899996338,1.158931550078519,-0.005463607908291251,-0.17189387440554738,0.27881256578880736,-0.4976081309025268
