gene_name,tis_id,orf_type,row_index,set,component,value,stage,rank,rank_used,inf_norm,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CMC2,chr16:81006748:-:GTG:ENST00000219400.8,uorf,1059,Y,1.0,4.1471735467427315,rare_fill,,0,4.1471735467427315,4.1471735467427315,2.045023766860811,0.46397855097355406,-0.811768832430024,-0.5380510677740442,1.3049419115874648,-1.0467667962299811,-1.145767559908285,1.1644615766383177,-0.14408263597492704
SPEN,chr1:15847903:+:ATG:ENST00000375759.8,uorf,5250,Z,1.0,-1.601072015699125,rare_fill,,0,2.374126192872128,-1.601072015699125,2.374126192872128,0.88599187354077,-1.3119730763657755,-1.252749448753768,1.9955466474589003,-1.5484270177794557,-1.0099458736851201,1.2046030613231924,-0.013310634685182149
PBRM1,chr3:52685817:-:GTG:ENST00000420148.5,uorf,3802,W,1.0,0.008782144711931106,rare_fill,,0,2.825761427868714,0.008782144711931106,2.825761427868714,0.9565241313040436,-0.29062883188545974,-1.3198115578049168,1.8625150452364436,-1.8678205667282106,-0.5903677546197645,0.056486895857479805,0.4949208137844661
SPIN4,chrX:63350587:-:ATG:ENST00000374884.3,internal_oof,5255,Y,1.0,2.945878527059852,rare_fill,,0,2.945878527059852,2.945878527059852,2.0538300777958702,-0.5008203271644156,-0.2520172757184374,-1.7495341877586097,0.6015338615879744,-1.3991329642099035,-1.1664563491283033,1.2273593008018489,-0.9695746321703371
PHACTR4,chr1:28407460:+:TTG:ENST00000493669.2,internal_oof,3937,Z,1.0,-2.013024395428796,rare_fill,,0,2.2004624247973883,-2.013024395428796,2.2004624247973883,1.2335458071030843,-1.1121752275026198,0.6378386651643813,0.6400324720104407,0.013944540769729473,0.6514764529443228,-1.749638505812566,-0.0023632373880192554
CCT3,chr1:156338174:-:ATC:ENST00000368258.7,internal_oof,842,W,1.0,0.008648133375305282,rare_fill,,0,0.9831922053708488,0.008648133375305282,0.9172036898098749,-0.1900778362095397,-0.24982421273776378,0.8470754836631859,-0.27224932350031544,-0.5634265087581728,0.6719652715342018,-0.9831922053708488,0.6115775431222275
SMIM10L1,chr12:11171567:+:ATG:ENST00000622602.2,3utr_orf,5120,Y,1.0,2.728764171509851,rare_fill,,0,2.728764171509851,2.728764171509851,2.4308004293789747,0.7737434875601458,-1.8870161699088488,-0.19588166468683407,-0.3785921771138335,1.5098764977559052,0.3650263893534683,-0.410216379230374,1.5767858012703435
APC,chr5:112754890:+:ATG:ENST00000505350.2,3utr_orf,297,Z,1.0,-3.909704746164826,rare_fill,,0,3.909704746164826,-3.909704746164826,1.2414037727358185,0.20266088017112158,-1.3419305842589817,0.8661048990405625,1.1071494973816391,0.5536280455951721,0.1258031142069428,-0.5691036522383124,0.08034600431786469
SPECC1,chr17:20232217:+:AGG:ENST00000467722.3,3utr_orf,5236,W,1.0,-0.03285322157169431,rare_fill,,0,2.6188950498995722,-0.03285322157169431,2.6188950498995722,0.13236299710446262,-1.4084741078812837,-0.2529769923759627,0.7090151278506693,-0.3628787527172949,-0.2422367758090088,-0.6671567966553176,-0.35589581135427734
CGGBP1,chr3:88058939:-:ACG:ENST00000309534.10,uoorf,972,Y,1.0,2.083703416720957,rare_fill,,0,2.365375263251203,2.083703416720957,2.365375263251203,0.9081661103772977,-0.8632956756574401,-0.3931799189327967,0.5845740213745149,-1.960433572515219,1.5040740957803902,0.6309616463323944,0.014040340388803104
RPS6KA5,chr14:91060550:-:CTG:ENST00000614987.5,uoorf,4670,Z,1.0,-0.48445985787934465,rare_fill,,0,2.282658834852685,-0.48445985787934465,2.282658834852685,1.4603467266508248,-1.9077742937849602,0.67172650383954,0.08436526122357067,-0.15252811939202943,0.3454696694886528,-0.6646328516812409,1.2857501989154803
ADAR,chr1:154602598:-:ATC:ENST00000368471.8,uoorf,80,W,1.0,0.011902624818089381,rare_fill,,0,2.361831767369471,0.011902624818089381,2.361831767369471,0.2961607035717234,-1.8572311323773636,-1.8574707322762876,1.5589865047262945,-1.8271458398574938,-0.9981704143498608,1.1189405757672761,0.2158270445672134
LGALS1,chr22:37675690:+:CTG:ENST00000215909.10,extended,2791,Y,1.0,5.0108223068013125,sampler,,0,5.0108223068013125,5.0108223068013125,-0.6929310094420343,1.0527554618264556,0.10934437591218135,4.512585465937628,1.5894273642859735,-0.920068571985938,0.14455169066022747,1.4506347006882792,-0.39506487925923217
NUCKS1,chr1:205718417:-:AAG:ENST00000367142.5,truncated,3628,Y,2.0,4.483687027080546,sampler,,0,4.483687027080546,-0.7246152437011851,4.483687027080546,1.5527828271016964,0.2981012435413107,1.6560787756172812,-0.540544319453385,-0.37588349802682536,-0.30561450388403577,0.1361389099563225,0.03881775555457026
INCENP,chr11:62124150:+:GTG:ENST00000394818.8,extended,2468,Y,3.0,4.085631183888929,sampler,,0,4.085631183888929,-1.5806559795112078,-0.1014855686011696,4.085631183888929,0.5008496700495974,0.1413665901677628,0.43434211883875706,0.510192956061726,-0.15923278387671816,0.2923756855772815,0.018679904391439565
CBX5,chr12:54257644:-:AAG:ENST00000439541.6,truncated,780,Y,4.0,3.6799170183336596,sampler,,0,3.6799170183336596,0.6123109268483864,0.76906955276204,1.7482367343810765,3.6799170183336596,-0.48471307996906765,-0.21517125031369605,-0.4981610471903085,0.5512808220624373,0.5297644592505233,0.1570684907713319
HSP90AA1,chr14:102087024:-:GTG:ENST00000216281.13,extended,2369,Y,5.0,6.419648805773971,sampler,,0,6.419648805773971,1.8152985433782476,-1.5049115586350175,2.1166298570202735,-1.4860069046871338,6.419648805773971,2.8037550890679284,-0.7784282818533861,2.340039889697519,3.1876352112689417,-0.9371073572482588
LMNA,chr1:156114909:+:CTG:ENST00000368300.9,extended,2824,Y,6.0,3.952460516769178,sampler,,0,3.952460516769178,-0.9413806895718393,-1.3878961013414983,2.7500959675184835,1.198927648791106,2.493254563289256,3.952460516769178,-0.19249961593288772,2.069815407057889,2.6930186505958025,-0.2790765896889483
KMT2C,chr7:152187716:-:AGG:ENST00000262189.11,truncated,2679,Z,1.0,-6.176032569042394,sampler,,0,6.176032569042394,-6.176032569042394,-0.9785437523403172,0.6741567762356009,-1.6128894073843159,1.0148388459126774,-0.06553117364842684,-0.46917413374111233,-0.6750075874892987,0.6541469846577621,-0.6097904293521722
GBE1,chr3:81761505:-:ATG:ENST00000429644.7,truncated,1983,Z,2.0,-3.7899574614034646,sampler,,0,3.7899574614034646,0.16390119545301648,-3.7899574614034646,0.1421230026076247,0.2583874570272847,0.4549796509554988,0.20769962501621084,-0.8790451874321215,-0.9717106855375627,0.5435291146462295,-0.29934612908287567
ATP9A,chr20:51604919:-:GTG:ENST00000338821.6,truncated,480,Z,3.0,-3.2122717388363933,sampler,,0,3.2122717388363933,-0.9874831728316542,1.296022539544922,-3.2122717388363933,-1.315725976952016,-0.6512138899996243,1.1589315500785167,-0.005463607908325963,-0.1718938744055379,0.27881256578881863,-0.497608130902518
PIEZO1,chr16:88785126:-:ACG:ENST00000301015.14,extended,3988,Z,4.0,-3.8689376810662717,sampler,,0,3.8689376810662717,-1.9182102965839727,-2.8155054634830314,1.6003021078888513,-3.8689376810662717,1.3009339679230894,1.9017676924668647,1.0417317787767437,1.410872474010012,1.1307457370700187,-0.39017321056860216
ETAA1,chr2:67397342:+:ATG:ENST00000272342.6,uorf,1735,Z,5.0,-2.7200286075394557,sampler,,0,2.7200286075394557,0.9194183981009076,2.5209191937892728,0.33353764446536477,-1.4179099798334256,-2.7200286075394557,1.2583764172107965,-0.863732351632515,-1.414491415846841,1.1971006642390882,-2.139027137924353
GTPBP6,chrY:316965:-:ACG:ENST00000711233.2,truncated,2198,Z,6.0,-2.7411068675366947,sampler,,0,2.7411068675366947,-0.3071356006007224,-0.5279689807053897,-0.150175123364269,-1.4347050442353062,0.09377126227092811,-2.7411068675366947,0.5880175471674469,0.22518664603874375,0.6476971879142418,-1.1146881208655182
